0.9981	0.0015	0.0003	1.72	3.5	4.75	1
0.8068	0.0001	0.1931	1.4	4	9	1
0.1848	0.4521	0.3631	2.05	3.2	3.6	2
0.0025	0.0013	0.9962	1.83	3.25	4.5	3
0.0029	0	0.997	1.72	3.4	5	3
0.9957	0.0002	0.0041	1.9	3.1	4.33	1
0.9979	0.002	0.0001	3.4	3.2	2.15	1
0.0061	0.9925	0.0014	2.2	3.2	3.25	2
0.0079	0.3645	0.6275	7.5	4	1.44	2
0.016	0.0063	0.9777	1.72	3.4	5	3
0	0.9999	0	2.2	3.2	3.25	2
0.001	0.9988	0.0002	1.66	3.6	5	2
0.0126	0	0.9874	3.2	3.1	2.25	3
0.0026	0.8712	0.1262	1.72	3.4	5	2
0.9586	0.0363	0.0051	1.16	6.5	15	1
0.0003	0.9141	0.0856	2.05	3.25	3.6	2
0.3758	0.6093	0.0148	2.1	3.25	3.4	2
0.0006	0.9994	0	2.1	3.2	3.5	2
0.3632	0.2583	0.3786	2.87	3.25	2.37	3
0.0898	0.6515	0.2587	2.4	3.25	2.9	2
0.9995	0	0.0005	1.18	6.75	15	1
0.9909	0.0001	0.0089	1.5	4	6.75	1
0.5801	0	0.4199	2.1	3.3	3.5	1
0.7764	0.0973	0.1264	2.3	3.1	3.25	1
0.0028	0.0048	0.9923	2.37	3.25	3	3
0.0013	0.9985	0.0002	3.1	3.25	2.3	2
0.1397	0.3799	0.4804	6.25	4	1.53	2
0.2876	0.0009	0.7116	1.9	3.3	4.2	1
0.9998	0.0001	0.0001	1.4	4.5	8	1
0.6552	0.1151	0.2298	1.66	3.75	5	1
0.3817	0.2276	0.3907	2.37	3.25	3	1
0.0082	0.9912	0.0005	2.37	3.25	3	2
0.4444	0.5539	0.0017	1.72	3.4	5.25	1
0.0131	0.0018	0.985	3	3.25	2.37	3
0.0662	0.6017	0.3321	2.1	3.2	3.6	2
0.0246	0.0769	0.8984	2.37	3.25	3	3
0.0001	0.9987	0.0012	6	3.6	1.61	2
0.9989	0.0007	0.0004	1.66	3.5	5.5	1
0.0977	0.8336	0.0688	1.8	3.5	4.5	1
0.4078	0.0141	0.5781	1.44	4	8.5	3
0.0044	0.0991	0.8964	2.87	3.2	2.5	3
0.8424	0.1487	0.0089	1.33	4.75	10	1
0.0061	0.0049	0.9891	2	3.3	3.8	3
0.9581	0.0003	0.0416	2.05	3.3	3.6	1
0.0191	0.0003	0.9807	2.1	3.25	3.6	3
0.8226	0.0016	0.1758	1.72	3.5	5.25	1
0.0945	0.0026	0.9029	2.7	3.25	2.6	3
0.9685	0.0057	0.0258	1.44	4.2	7.5	1
0.9971	0.0025	0.0004	1.25	5.5	12	1
0.0069	0.4321	0.5611	8	4.5	1.4	3
0.6177	0.1755	0.2067	2.8	3.25	2.5	1
0.0075	0.0831	0.9093	2.1	3.25	3.5	3
0.5165	0.0086	0.4749	1.66	3.75	5	1
0.2477	0.4863	0.266	2.2	3.3	3.2	1
0.6975	0.0047	0.2977	1.83	3.4	4.5	1
0.0161	0.4255	0.5584	5	3.6	1.72	3
0.2594	0.0015	0.7391	3	3.25	2.4	3
0.0033	0.076	0.9207	1.72	3.5	5	3
0.9998	0.0001	0.0001	1.61	3.6	6	1
0.7161	0.2805	0.0034	1.57	3.75	6.25	3
0.0004	0.9988	0.0008	2	3.3	3.8	2
0.6668	0.1643	0.1689	1.44	4.2	7.5	1
0.9619	0.0322	0.0059	2.1	3.2	3.6	1
0.0002	0.9985	0.0013	2.4	3.25	2.9	2
0.4335	0.2358	0.3307	2.8	3.25	2.5	1
0.992	0.0002	0.0078	1.25	5.5	12	1
0.9989	0.0002	0.0009	2.1	3.3	3.5	1
0.6767	0.0434	0.2799	1.44	4.2	7.5	3
0.4867	0.5111	0.0022	1.44	4.2	7.5	1
0.1922	0.0011	0.8068	3.6	3.3	2.05	1
0.0032	0.0001	0.9967	3.1	3.25	2.3	3
0.0046	0.0058	0.9896	5.75	3.7	1.61	3
0.617	0.0021	0.3809	4.2	3.5	1.85	1
0.9666	0.018	0.0154	2.37	3.25	3	1
0.6604	0.2166	0.1231	1.9	3.4	4	1
0.0484	0.9496	0.002	2	3.3	3.75	2
0.906	0.0164	0.0776	2	3.3	3.75	1
0.0146	0.5363	0.4491	2.37	3.25	3	3
0.0015	0.0051	0.9934	2.25	3.25	3.2	3
0.1233	0.7187	0.1579	2.1	3.25	3.6	2
0.0527	0.6005	0.3468	2.3	3.25	3.1	2
0.989	0.0016	0.0094	1.3	5	11	1
0.9994	0.0001	0.0004	1.18	6.5	15	1
0.0015	0.0013	0.9972	5	3.8	1.66	3
0.9905	0.0087	0.0008	2.3	3.25	3.1	1
0.1927	0.7804	0.0269	1.8	3.6	4.2	2
0.9885	0.001	0.0105	2.1	3.25	3.6	1
0.5251	0.0001	0.4748	2.3	3.25	3.1	1
0.2995	0.0067	0.6938	2.4	3.3	2.87	1
0.0287	0.1327	0.8385	2.7	3.3	2.6	3
0.8323	0.076	0.0917	2.3	3.3	3.1	1
