Celta	AthBilbao	0.451643	0.384715	0.163642	2.4	3.2	2.95
Valencia	Osasuna	0.880442	0.0637715	0.055787	1.4	4.4	7.4
Granada	Malaga	0.479729	0.181554	0.338718	2.35	3.25	2.9
RealMadrid	Valladolid	0.904789	0.0705392	0.0246717	1.17	6.6	13.5
LaCoruna	AthMadrid	0.138293	0.175147	0.686559	3.4	3.2	2.1
Mallorca	Levante	0.673947	0.0664662	0.259587	1.74	3.6	4.5
Zaragoza	Vallecano	0.868768	0.0719157	0.0593158	1.98	3.25	3.6
Sevilla	Espanol	0.406352	0.475309	0.118339	1.52	3.85	6.4
Barcelona	Betis	0.952233	0.00836307	0.0394042	1.22	5.8	10.5
Getafe	Sociedad	0.462429	0.0699235	0.467647	3.5	3.25	2.02
