M'gladbach	Schalke04	0.0754692	0.68231	0.242221	3.45	3.35	2.05
Dortmund	BayernMunich	0.277273	0.580186	0.14254	2.95	3.29	2.25
EinFrankfurt	FortunaDusseldorf	0.902455	0.075225	0.0223199	1.81	3.4	4.4
Nurnberg	Leverkusen	0.063776	0.0601292	0.876095	3.85	3.54	1.86
Hannover	Mainz	0.436787	0.0588077	0.504405	2.45	3.2	2.85
Stuttgart	GreutherFurth	0.688053	0.024943	0.287004	1.66	3.65	5
WerderBremen	Hoffenheim	0.348361	0.479143	0.172496	1.98	3.4	3.54
Freiburg	Augsburg	0.189141	0.167327	0.643532	1.98	3.29	3.6
Hamburg	Wolfsburg	0.585991	0.357167	0.0568428	2.2	3.4	3.1
