0.122	0.6816	0.1964	2.6	3.4	2.75
0.1144	0.4972	0.3884	2.3	3.3	3.25
0.7134	0.0087	0.2779	2.2	3.35	3.45
0.2151	0.5238	0.2611	3.05	3.35	2.4
0.0919	0.8525	0.0556	2	3.45	3.85
0.2876	0.0011	0.7113	2.55	3.4	2.75
0.9199	0.0793	0.0007	1.315	5.1	11
0.0121	0.5047	0.4832	7.7	4.7	1.42
0.0205	0.0006	0.9789	6.65	4.35	1.5
0.2217	0.755	0.0233	2.05	3.45	3.7
0.7346	0.2568	0.0086	1.24	6.45	12.75
0.4379	0.0811	0.481	2.25	3.35	3.2
0.4717	0.4763	0.052	1.43	4.65	7.7
0.1006	0.0808	0.8186	7	4.65	1.45
0.0519	0.0245	0.9236	1.83	3.7	4.25
0.9169	0.0161	0.067	1.91	3.55	4.15
0.0017	0.0114	0.9869	6.4	3.9	1.59
0.1959	0.3038	0.5003	1.8	3.65	4.55
0.9556	0.0365	0.008	1.22	6.5	13.45
0.0156	0.0378	0.9466	2.8	3.45	2.5
0.1011	0.8559	0.043	2.1	3.45	3.5
0.0025	0.0054	0.9922	7.3	4.5	1.45
0.6634	0.0057	0.3308	2.15	3.45	3.4
0.4959	0.0119	0.4922	2.3	3.5	3.05
0.8236	0.0473	0.1291	2.3	3.35	3.2
0.0143	0.0767	0.909	2.45	3.3	2.95
0.0026	0.0003	0.9971	3.7	3.4	2.05
0.4349	0.3009	0.2642	3.15	2.35	3.3
0.415	0.074	0.511	2.05	3.35	3.8
0.3007	0.4083	0.291	2.85	3.35	2.5
0.3384	0.2198	0.4418	2.3	3.2	3.3
0.4554	0.2623	0.2823	2.45	3.2	3
0.263	0.0573	0.6797	1.91	3.4	4
0.0692	0.4768	0.454	3	3.35	2.4
0.6083	0.0791	0.3126	2.05	3.4	3.75
0.004	0.0563	0.9397	4.05	3.45	1.95
0.2869	0.2594	0.4537	3.7	3.4	2.05
0.0076	0.0264	0.9659	5.95	3.8	1.59
0.05	0.3673	0.5827	2.2	3.2	3.4
0.1605	0.0093	0.8303	2.25	3.15	3.4
0.0024	0.99	0.0076	2.5	3.15	3
0.5851	0.0236	0.3912	2.55	3.2	2.85
0.001	0.0056	0.9934	1.91	3.5	4.1
0.2718	0.3316	0.3966	1.83	3.4	4.6
0.3775	0.3578	0.2647	1.83	3.45	4.55
0.3495	0.2981	0.3525	1.91	3.35	3.95
