Freiburg	Hannover	0.223913	0.170631	0.605457	1.8	3.65	4.55
BayernMunich	Nurnberg	0.563361	0.43629	0.000349904	1.22	6.5	13.45
FortunaDusseldorf	WerderBremen	0.432525	0.555024	0.012451	2.8	3.45	2.5
Mainz	Hamburg	0.0767307	0.868447	0.0548223	2.1	3.45	3.5
GreutherFurth	Dortmund	0.0194231	0.277498	0.703079	7.3	4.5	1.45
Wolfsburg	Hoffenheim	0.456485	0.417962	0.125553	2.15	3.45	3.4
Schalke04	Leverkusen	0.863698	0.0101558	0.126146	2.3	3.5	3.05
Stuttgart	M'gladbach	0.442734	0.522826	0.0344399	2.3	3.35	3.2
Augsburg	EinFrankfurt	0.129373	0.407303	0.463325	2.45	3.3	2.95
