Atalanta	Bologna	0.473992	0.2683	0.257708	2.5	2.6	3.4
Pescara	Napoli	0.0106993	0.426399	0.562902	11	5.4	1.34
Cagliari	Udinese	0.164334	0.257576	0.57809	3.1	3.2	2.25
Roma	Siena	0.879958	0.0393592	0.0806831	1.44	4.5	6
Sampdoria	Fiorentina	0.660864	0.26338	0.0757565	3.5	3.3	2
Chievo	Genoa	0.844364	0.0501248	0.105512	2.35	3.2	2.9
Torino	Juventus	0.192407	0.28109	0.526503	5.25	3.6	1.61
Palermo	Inter	0.259169	0.547792	0.193039	2.25	3.35	3
Milan	Catania	0.607756	0.388138	0.00410601	1.36	4.5	8
Parma	Lazio	0.691128	0.0642732	0.244599	2.4	3.2	2.85
