0.2171	0.1246	0.6583	2	3	4.33	3
0.1077	0.0371	0.8552	4.75	3.1	1.91	3
0.0257	0.6239	0.3505	3.75	3.1	2.1	2
0.75	0.1724	0.0776	2.3	3	3.4	1
0.0905	0.7783	0.1312	3.5	3	2.25	2
0.839	0.0092	0.1518	1.53	3.6	7.5	1
0.1652	0.4033	0.4315	1.91	3.2	4.33	3
0.6801	0.309	0.0109	2.2	2.9	3.75	3
0.7668	0.0571	0.176	1.5	3.5	7	1
0.1664	0.305	0.5286	1.67	3.3	5.5	3
0.6295	0.0048	0.3658	2.15	3	3.8	1
0.7366	0.2611	0.0023	1.91	3.25	4.33	2
0.6694	0.1863	0.1443	1.33	4.5	12	1
0.7761	0.0341	0.1898	2.25	3	3.5	1
0.258	0.1523	0.5897	1.62	3.6	6	1
0.339	0.263	0.3979	4	3.25	2	3
0.8449	0.0335	0.1217	1.91	3.3	4.2	1
0.923	0.0218	0.0551	2.38	3	3.25	1
0.7422	0.1849	0.073	1.73	3.5	5	1
0.4793	0.5045	0.0162	2.5	2.9	3.1	2
0.0965	0.7763	0.1271	4	3.2	2	3
0.3377	0.3901	0.2722	2.35	3	3.3	1
0.5119	0.0985	0.3895	2.1	3	4	1
0.6511	0.2893	0.0595	2.3	3	3.4	1
0.1752	0.7952	0.0296	3	3	2.5	2
0.4855	0.2686	0.246	1.75	3.3	5.25	3
0.0073	0.5031	0.4896	3.6	3	2.2	3
0.5481	0.351	0.1009	1.5	3.75	7.5	1
0.0845	0.0734	0.8421	2.45	2.9	3.2	3
0.1558	0.3024	0.5418	2	3.1	4.2	2
0.0895	0.5286	0.3819	2.5	2.9	3.1	2
0.049	0.647	0.3039	2.6	2.9	3	2
0.7357	0.1929	0.0714	2.1	3.1	3.8	1
0.9261	0.0115	0.0623	1.36	4.5	10	1
0.4692	0.0647	0.4661	2	3.1	4.2	3
0.2	0.1027	0.6973	2.2	3	3.6	1
0.972	0.0126	0.0154	1.73	3.3	5.5	1
0.154	0.7871	0.0589	2.15	3.2	3.5	2
0.6541	0.2356	0.1104	1.83	3.3	4.75	1
0.2155	0.6254	0.1591	1.57	3.75	6.5	3
0.6419	0.0712	0.2869	1.29	5	12	1
0.0217	0.3529	0.6254	4.2	3.25	1.91	3
0.7699	0.0364	0.1938	1.75	3.4	5	1
0.7125	0.2626	0.0249	1.36	4.5	9	1
0.9192	0.011	0.0698	2.3	3	3.4	1
0.2535	0.2421	0.5044	2.4	3	3.2	2
0.068	0.8626	0.0694	2	3.2	4	2
0.7153	0.0282	0.2565	2.2	3.1	3.5	1
0.262	0.1372	0.6008	2.9	3	2.6	1
0.4846	0.4443	0.0711	1.75	3.4	5	1
0.0529	0.2735	0.6736	5.5	3.5	1.67	3
0.0183	0.1165	0.8652	3.6	3	2.2	3
0.7517	0.0851	0.1632	2.2	3	3.6	1
0.8467	0.1258	0.0275	1.4	4.2	8.5	1
0.1019	0.1526	0.7455	2.63	2.8	3.1	3
0.1149	0.3383	0.5468	1.85	3.2	4.75	3
0.3329	0.6324	0.0347	2	3.1	4.2	2
0.0104	0.7268	0.2628	2.6	3	2.88	2
0.2136	0.5533	0.2331	2.88	3.1	2.55	2
0.6229	0.3215	0.0556	1.75	3.4	5	1
0.1526	0.8001	0.0473	1.67	3.4	6	1
0.1586	0.3347	0.5067	3.2	3	2.4	2
0.933	0.0281	0.0388	1.44	4	8.5	1
0.4223	0.5596	0.018	1.8	3.1	4.6	3
0.5019	0.4155	0.0826	1.7	3.4	5.5	1
0.5634	0.3145	0.1221	2	3.2	4	1
0.7388	0.1809	0.0803	4.75	3.3	1.8	1
0.5358	0.2038	0.2604	1.7	3.4	5.5	1
0.6941	0.0067	0.2992	2.25	3.1	3.4	1
0.1415	0.7881	0.0704	1.62	3.6	6	2
0.4228	0.0167	0.5605	2.9	3	2.6	3
0.0515	0.2145	0.734	5	3.4	1.75	3
0.1557	0.4652	0.3791	2.3	3	3.4	1
0.8059	0.0516	0.1424	1.57	3.5	7	2
0.5075	0.1366	0.3559	1.62	3.5	6	3
0.751	0.0675	0.1816	1.91	3.1	4.6	1
0.8024	0.0148	0.1828	4	3.2	2	1
0.0189	0.2962	0.6848	3.75	3.1	2.1	3
0.7354	0.1946	0.0699	1.53	3.75	7	3
0.2512	0.3254	0.4234	1.85	3.2	4.75	3
0.3951	0.1765	0.4284	3.8	3.2	2.05	1
0.0333	0.9097	0.057	1.7	3.4	5.5	2
0.1319	0.8045	0.0636	2.1	3.1	3.75	2
0.9107	0.0057	0.0835	1.3	5	11	3
0.8952	0.0348	0.07	2.2	3.1	3.5	1
0.0883	0.203	0.7086	3.8	3.2	2.05	3
0.0378	0.9103	0.0519	1.57	3.6	6.5	1
0.8082	0.1319	0.0599	1.91	3.2	4.33	1
0.1615	0.6349	0.2036	1.73	3.3	5.5	1
0.8367	0.1249	0.0384	2.6	3	2.88	1
0.918	0.0274	0.0546	1.33	4.5	11	1
0.6427	0.005	0.3524	4.33	3	2	3
0.0935	0.2631	0.6435	3.6	3.1	2.15	3
0.5412	0.0145	0.4443	5.25	3.5	1.7	1
0.6697	0.0144	0.3159	1.8	3.4	4.75	1
0.6698	0.0228	0.3074	2.1	3.1	3.75	1
0.4253	0.0357	0.539	1.8	3.4	4.75	3
0.6234	0.3304	0.0462	2.63	2.88	3	1
0.0484	0.2995	0.6521	2.63	2.88	3	3
0.4926	0.1288	0.3787	2.1	3.1	3.75	1
0.563	0.106	0.331	1.67	3.4	6	1
0.4292	0.05	0.5208	3	2.9	2.6	3
0.0501	0.1576	0.7923	5	3.25	1.8	3
0.1721	0.7096	0.1183	2.5	2.9	3.1	2
0.2539	0.7418	0.0043	1.6	3.5	6.5	2
0.1064	0.3084	0.5852	4	3.2	2	3
0.2979	0.6618	0.0403	2	3.2	4	1
0.3468	0.4306	0.2226	1.67	3.4	6	3
0.1633	0.3915	0.4452	2.75	3	2.75	3
0.5613	0.0294	0.4093	2.65	2.9	2.9	3
0.9589	0.0196	0.0215	1.53	3.8	6.5	1
0.5179	0.1823	0.2998	1.33	4.75	10	2
0.4537	0.0549	0.4915	2.1	3.1	3.75	3
0.4104	0.2031	0.3865	1.7	3.5	5.25	3
0.5721	0.1067	0.3211	1.95	3.2	4.2	3
0.231	0.6286	0.1403	2.2	3.1	3.5	2
0.768	0.0354	0.1966	2.7	3	2.75	1
0.5281	0.2164	0.2554	2.05	3.2	3.75	2
0.6507	0.2572	0.0921	2.3	3	3.4	1
0.9377	0.022	0.0403	1.73	3.5	5	1
0.2085	0.4142	0.3772	2.3	3	3.4	1
0.7993	0.1543	0.0465	1.4	4.2	9	3
0.1881	0.2193	0.5926	8	4	1.44	2
0.2277	0.2144	0.558	2.5	2.9	3.1	1
0.0054	0.7844	0.2102	1.44	4	8	1
0.5058	0.1604	0.3337	2.75	3	2.7	1
0.6778	0.0673	0.2549	2.4	3	3.2	1
0.4926	0.1456	0.3618	2.2	3.1	3.5	3
0.4339	0.5005	0.0656	4.2	3.1	2	1
0.7621	0.0915	0.1464	1.67	3.5	5.5	1
0.338	0.6442	0.0178	1.5	3.75	7.5	2
0.5075	0.0797	0.4128	1.85	3.2	4.75	1
0.6688	0.1995	0.1317	2.2	3	3.6	1
0.7866	0.0314	0.182	1.4	4.2	8.5	1
0.3582	0.1604	0.4814	2.3	3	3.4	2
0.568	0.2364	0.1956	1.55	3.7	6.5	2
0.463	0.1276	0.4094	3.75	3.2	2.05	3
0.6816	0.0731	0.2453	5	3.3	1.75	3
0.6788	0.001	0.3202	1.67	3.4	6	1
0.8107	0.01	0.1794	1.75	3.4	5	1
0.2305	0.0932	0.6763	3.6	3.2	2.1	3
0.4302	0.2011	0.3686	1.91	3.2	4.33	1
0.2784	0.5345	0.1872	2.1	3.1	3.75	2
0.5675	0.3191	0.1135	2.2	3.1	3.5	1
0.0527	0.1874	0.76	1.83	3.3	4.75	3
0.6812	0.0558	0.263	2.88	3.1	2.55	1
0.2122	0.2455	0.5423	3.75	3.1	2.1	1
0.7355	0.1481	0.1163	3.1	3.1	2.4	1
0.4361	0.4554	0.1085	1.62	3.5	6.25	1
0.2148	0.3885	0.3967	1.75	3.4	5	1
0.6597	0.0517	0.2886	2.6	3	2.88	1
0.2556	0.5305	0.2139	2.25	3	3.5	1
0.0823	0.7255	0.1921	2.1	3.1	3.75	2
0.8833	0.0117	0.105	1.25	5.25	13	1
0.1303	0.1256	0.744	2.63	2.88	3	3
0.3825	0.1972	0.4202	2.25	3.1	3.4	3
0.6433	0.001	0.3556	2.63	3	2.88	3
0.6393	0.3437	0.017	1.67	3.5	5.5	1
0.7322	0.2019	0.0659	1.8	3.3	5	1
0.5019	0.076	0.4221	1.91	3.2	4.33	3
0.6996	0.2465	0.0539	2.1	3.1	3.75	2
0.6721	0.3112	0.0167	2	3.1	4.2	1
0.0818	0.2804	0.6378	3.6	3.2	2.1	3
0.3861	0.5263	0.0877	1.17	6.5	19	1
0.2863	0.021	0.6927	2.75	3	2.7	1
0.1246	0.2489	0.6265	3.75	3.1	2.1	3
0.9361	0.0235	0.0404	2.1	3.1	3.75	1
0.2887	0.6029	0.1084	1.57	3.6	6.5	2
0.7908	0.1819	0.0273	1.44	4	8	1
0.0303	0.9227	0.047	2.6	3	2.88	2
0.4594	0.0333	0.5073	1.83	3.3	4.75	3
0.7196	0.0619	0.2185	2.2	3.1	3.5	1
0.2927	0.026	0.6813	4.33	3.4	1.85	2
0.1913	0.5688	0.2399	2	3.2	4	2
0.5693	0.221	0.2097	2.1	3.1	3.75	2
0.7998	0.1427	0.0576	1.36	4.33	10	1
0.3689	0.0555	0.5756	3.5	3.1	2.2	2
0.8891	0.0906	0.0203	2	3.2	4	1
0.1212	0.4064	0.4724	2.5	3	3	2
0.5459	0.1258	0.3284	2	3.2	4	1
0.4293	0.0304	0.5403	1.53	3.75	7	3
0.8687	0.093	0.0384	1.44	4	8.5	3
0.1349	0.1148	0.7503	3.75	3.1	2.1	3
0.1501	0.7575	0.0924	1.62	3.6	6	2
0.745	0.1921	0.0629	1.44	4	8	1
0.5086	0.1219	0.3695	2.75	3	2.7	1
0.448	0.1563	0.3957	3.5	3.1	2.2	3
0.0218	0.745	0.2332	3	3	2.38	2
0.7858	0.0155	0.1987	2.3	3	3.1	1
0.3725	0.2418	0.3857	1.44	4	8	2
0.8214	0.1291	0.0495	2.5	3	3	3
0.6134	0.1848	0.2017	2.38	3	3.2	3
0.7646	0.212	0.0234	1.91	3.25	4.2	1
0.7913	0.1571	0.0516	2	3.2	4	1
0.7394	0.0229	0.2377	1.75	3.4	5	1
0.4137	0.0509	0.5354	4.33	3.25	1.91	3
0.0692	0.7398	0.191	1.75	3.4	5	2
0.2728	0.6912	0.036	2.15	3.1	3.6	3
0.6989	0.0054	0.2957	2	3.2	4	2
0.8808	0.0427	0.0765	2.88	3	2.6	2
0.2205	0.2681	0.5115	3	3.1	2.45	3
0.4193	0.0928	0.4879	8	4	1.44	3
0.3641	0.1437	0.4922	2.3	3.1	3.2	3
0.4736	0.3948	0.1316	3.6	3.2	2.1	3
0.8432	0.0091	0.1477	1.33	4.75	9.5	1
0.4954	0.129	0.3756	2.6	3	2.88	3
0.1723	0.1273	0.7004	1.8	3.3	4.75	3
0.5325	0.1692	0.2983	4.2	3.25	1.91	1
0.1495	0.6508	0.1997	1.95	3.2	4.2	2
0.4912	0.5047	0.0041	1.17	6.5	17	2
0.1094	0.648	0.2425	2.7	2.88	2.9	3
0.9674	0.0102	0.0224	1.44	4	8	1
0.5208	0.3891	0.0901	1.57	3.6	6.5	1
0.7785	0.0321	0.1894	3.5	3	2.25	1
0.5397	0.0281	0.4322	2.5	2.9	3.1	1
0.917	0.0274	0.0556	1.4	4.2	9	1
0.674	0.2879	0.0381	1.83	3.3	4.75	1
0.2567	0.697	0.0463	1.73	3.4	5.25	1
0.6456	0.0438	0.3105	2	3.1	4.2	2
0.428	0.0172	0.5548	3.75	3	2.15	3
0.4164	0.2491	0.3345	3.5	3	2.25	1
0.9175	0.0714	0.0111	1.83	3.25	4.75	1
0.0305	0.8728	0.0967	4.75	3.25	1.83	2
0.3749	0.1468	0.4783	1.83	3.25	4.75	3
0.8124	0.0743	0.1133	3.25	2.9	2.4	1
0.1279	0.292	0.5801	2.2	3	3.6	2
0.7372	0.2297	0.0331	1.4	4.33	8	1
0.4215	0.4881	0.0904	2.5	3	3	1
0.5871	0.3378	0.0751	3.5	3	2.25	2
0.3086	0.4773	0.2141	2.38	3	3.25	2
0.982	0.0122	0.0059	1.29	4.75	13	1
0.9312	0.0139	0.0549	1.44	4	8	1
0.2822	0.2967	0.4211	3	3	2.5	3
0.6328	0.0623	0.3049	1.53	3.75	7	1
0.0994	0.6607	0.2399	2.7	2.9	2.9	2
0.6526	0.0441	0.3033	2	3.2	4	1
0.241	0.0347	0.7243	2.5	2.9	3.1	1
0.4941	0.4817	0.0242	1.4	4.2	9	1
0.5144	0.4378	0.0479	2.3	3	3.4	2
0.0047	0.5698	0.4254	2.4	3.1	3.1	3
0.0169	0.4333	0.5498	2.5	3.1	2.9	3
0.4609	0.5228	0.0163	2.4	3.2	3	1
0.6294	0.1236	0.247	2.4	3.1	2.9	1
0.9242	0.0162	0.0596	2	3.2	4	1
0.8168	0.0253	0.1579	2.25	3.2	3.25	1
