0.1996	0.0665	0.0000	
0.1996	0.0000	0.0665	
0.0000	0.5655	0.0000	
0.0000	0.0000	0.0000	
0.5655	0.0665	0.0000	
0.0333	0.0000	8.4165	
0.0000	0.0665	0.0333	
0.0998	0.2661	0.9647	
0.0333	0.0665	0.0000	
0.0998	0.0000	0.0000	
2.0958	0.0000	0.0000	
0.0000	0.0333	1.8629	
0.0000	4.2249	0.2994	
0.0000	0.0000	0.0000	
0.0000	0.0000	0.0000	
0.0000	0.0000	0.4990	
0.0665	0.0000	0.0000	
0.0000	8.0838	0.0000	
0.0333	1.5635	0.0000	
0.0000	0.0000	0.0333	
0.0000	0.0000	0.0000	
0.0000	0.0000	0.0000	
0.0000	0.0000	0.0333	
0.0000	0.2329	4.1583	
0.0000	0.0000	7.5516	
0.0998	0.1331	0.0000	
0.2661	0.0000	0.0000	
0.0333	0.0000	0.0000	
0.0000	5.5223	0.0000	
0.2329	0.1331	0.0000	
0.2329	0.0000	0.0000	
0.0000	0.4990	0.2329	
0.0000	0.2329	8.3832	
1.0313	0.0000	8.1171	
0.0000	0.5323	0.0000	
0.0000	0.0665	0.0000	
0.0000	0.1996	0.0000	
0.4990	0.0000	0.0333	
0.0000	0.0665	0.0000	
0.2329	0.0000	0.0000	
0.0000	0.0000	4.2249	
0.0333	0.0000	0.0000	
0.0000	0.0998	0.0000	
0.0000	0.0333	0.0000	
0.0000	0.0000	0.0000	
0.0000	0.0333	8.4830	
8.4830	0.0000	0.4990	
0.3659	0.0000	0.0000	
0.0333	8.2502	0.0998	
