Valenciennes	StEtienne	0.267945	0.488913	0.243142	3.7	3.4	2.05
Troyes	ParisSG	0.0918522	0.231443	0.676705	5.95	3.8	1.59
Ajaccio	Nancy	0.373357	0.51406	0.112584	2.2	3.2	3.4
Bordeaux	Montpellier	0.69308	0.172823	0.134097	2.25	3.15	3.4
Brest	Reims	0.0398981	0.900271	0.0598309	2.5	3.15	3
EvianThononGaillard	Rennes	0.69659	0.186711	0.116699	2.55	3.2	2.85
Lorient	Bastia	0.22259	0.547174	0.230236	1.91	3.5	4.1
Nice	Sochaux	0.437899	0.514166	0.0479354	1.83	3.4	4.6
Lyon	Toulouse	0.239206	0.624915	0.135879	1.83	3.45	4.55
Lille	Marseille	0.354054	0.109377	0.536568	1.91	3.35	3.95
