ManCity	WestHam	0.616719	0.187155	0.196126	1.25	6	12
Stoke	Norwich	0.497527	0.453147	0.0493266	2.05	3.25	3.75
Everton	Fulham	0.708714	0.238476	0.0528096	1.5	4.25	6.5
Wigan	Tottenham	0.301014	0.0422644	0.656721	3.75	3.5	2
Southampton	WestBrom	0.183942	0.329654	0.486404	1.83	3.6	4.3
Newcastle	Liverpool	0.115654	0.315982	0.568365	3	3.4	2.35
Reading	QPR	0.273516	0.615186	0.111298	2.55	3.4	2.7
Arsenal	ManUnited	0.75957	0.20056	0.0398704	2.15	3.6	3.25
Chelsea	Swansea	0.360935	0.475034	0.164031	1.33	5.5	8.5
AstonVilla	Sunderland	0.0707573	0.641858	0.287384	2.2	3.4	3.3
