StEtienne	Bordeaux	0.111349	0.66554	0.223111	1.65	3.75	5.7
Marseille	Bastia	0.410816	0.155069	0.434115	1.53	4	6.8
Troyes	EvianThononGaillard	0.451971	0.26793	0.280099	2.45	3.25	3
Sochaux	Lorient	0.141422	0.0867022	0.771876	1.91	3.35	3.9
Montpellier	Brest	0.13043	0.60763	0.26194	1.49	4	7.55
Reims	Ajaccio	0.0860152	0.720578	0.193407	2.4	3.05	3.35
Toulouse	Lille	0.413747	0.155987	0.430266	3.7	3.3	2.05
Rennes	Nice	0.692296	0.00804451	0.29966	2.7	3.1	2.8
Nancy	Lyon	0.655843	0.116402	0.227756	3.05	3.15	2.45
ParisSG	Valenciennes	0.820141	0.0570458	0.122813	1.23	6.1	13.85
