0.5026	0.0146	0.4828	2.3	3.3	3.1
0.9973	0.0001	0.0026	1.17	7	15
0.1111	0.5631	0.3257	1.95	3.5	3.75
0.9763	0.0137	0.01	1.14	8	15
0.7314	0.0704	0.1982	1.67	3.75	5
0.0051	0.0217	0.9732	2	3.5	3.6
0.3535	0.291	0.3554	3.6	3.5	2
0.3341	0.0002	0.6657	2	3.3	3.8
0.6567	0.293	0.0503	1.4	4.33	8.5
0.6999	0.0134	0.2867	1.57	3.8	6
0.1661	0.825	0.0089	2.63	3.3	2.9
0.0158	0.1073	0.8769	3.3	3.6	2.25
0.018	0.9643	0.0178	2.1	3.4	4
0.2172	0.0491	0.7336	4.1	3.7	1.95
0.9942	0.0003	0.0055	1.36	5	11
0.9556	0.0006	0.0438	1.36	5.5	9
0.3316	0.0152	0.6532	2.1	3.5	3.8
0.0538	0.901	0.0452	2.38	3.4	3.25
0.2675	0.2871	0.4455	2.2	3.4	3.6
0.8908	0.0011	0.1081	2.3	3.5	3.3
0.4383	0.5507	0.011	2	3.4	3.75
0.9669	0.0141	0.019	1.3	5.5	9
0.0066	0.0028	0.9906	6	4	1.53
0.3002	0.2098	0.49	2.3	3.3	3.1
0.4829	0.0006	0.5165	1.5	4.33	6
0.949	0.0504	0.0007	1.62	3.75	5.5
0.0305	0.2103	0.7592	2.6	3.4	2.6
0.9516	0.0052	0.0431	2.3	3.3	3.1
0.025	0.9231	0.0519	2.4	3.2	3
0.2897	0.5529	0.1574	2.1	3.1	3.75
0.9958	0.004	0.0002	1.14	8	15
0.3163	0.0241	0.6597	1.91	3.3	4.2
0.0884	0.5449	0.3667	2.88	3.2	2.5
0.3679	0.0358	0.5962	1.75	3.6	4.75
0.5035	0.4533	0.0432	1.36	4.5	9
0.8241	0.0268	0.1491	2.05	3.25	3.75
0.6673	0.2752	0.0574	2.4	3.1	3.1
0.7939	0.083	0.1231	1.8	3.3	4.75
0.9579	0.0175	0.0246	1.91	3.6	3.75
0.5026	0.3526	0.1448	1.85	3.3	4.5
0.6669	0.0004	0.3327	1.85	3.3	4.5
0.8222	0.1745	0.0033	1.57	3.6	6.5
0.3091	0.6893	0.0016	2.05	3.2	3.75
0.2645	0.2964	0.439	3.3	3.2	2.25
0.1389	0.5732	0.2879	2.05	3.2	3.8
0.1102	0.1079	0.7819	2	3.2	4
0.327	0.3791	0.2939	1.67	3.5	5.5
0.5517	0.0355	0.4129	3.8	3.3	2
0.2208	0.7578	0.0214	1.45	4.1	7.5
